O*NET-SOC Code	Element ID	Element Name	Scale ID	Data Value	N	Standard Error	Lower CI Bound	Upper CI Bound	Recommend Suppress	Not Relevant	Date	Domain Source
11-1011.00	1.A.1.a.1	Oral Comprehension	IM	4.62	8	0.1830	4.2664	4.9836	N	n/a	08/2023	Analyst
11-1011.00	1.A.1.a.1	Oral Comprehension	LV	4.88	8	0.1250	4.6300	5.1200	N	N	08/2023	Analyst
11-1011.00	1.A.1.a.2	Written Comprehension	IM	4.25	8	0.1637	3.9292	4.5708	N	n/a	08/2023	Analyst
11-1011.00	1.A.1.a.2	Written Comprehension	LV	4.88	8	0.1250	4.6300	5.1200	N	N	08/2023	Analyst
11-1011.00	1.A.1.a.3	Oral Expression	IM	4.50	8	0.1890	4.1296	4.8704	N	n/a	08/2023	Analyst
11-1011.00	1.A.1.a.3	Oral Expression	LV	4.88	8	0.1250	4.6300	5.1200	N	N	08/2023	Analyst
11-1011.00	1.A.1.a.4	Written Expression	IM	4.12	8	0.1250	3.8800	4.3700	N	n/a	08/2023	Analyst
11-1011.00	1.A.1.a.4	Written Expression	LV	4.75	8	0.1637	4.4292	5.0708	N	N	08/2023	Analyst
11-1011.00	1.A.1.b.1	Fluency of Ideas	IM	3.88	8	0.1250	3.6300	4.1200	N	n/a	08/2023	Analyst
11-1011.00	1.A.1.b.1	Fluency of Ideas	LV	4.62	8	0.1830	4.2664	4.9836	N	N	08/2023	Analyst
11-1011.00	1.A.1.b.2	Originality	IM	3.75	8	0.1637	3.4292	4.0708	N	n/a	08/2023	Analyst
11-1011.00	1.A.1.b.2	Originality	LV	4.25	8	0.1637	3.9292	4.5708	N	N	08/2023	Analyst
11-1011.00	1.A.1.b.3	Problem Sensitivity	IM	4.00	8	0.0000	4.0000	4.0000	N	n/a	08/2023	Analyst
11-1011.00	1.A.1.b.3	Problem Sensitivity	LV	4.88	8	0.1250	4.6300	5.1200	N	N	08/2023	Analyst
11-1011.00	1.A.1.b.4	Deductive Reasoning	IM	4.12	8	0.1250	3.8800	4.3700	N	n/a	08/2023	Analyst
11-1011.00	1.A.1.b.4	Deductive Reasoning	LV	4.75	8	0.1637	4.4292	5.0708	N	N	08/2023	Analyst
11-1011.00	1.A.1.b.5	Inductive Reasoning	IM	4.00	8	0.0000	4.0000	4.0000	N	n/a	08/2023	Analyst
11-1011.00	1.A.1.b.5	Inductive Reasoning	LV	4.88	8	0.1250	4.6300	5.1200	N	N	08/2023	Analyst
11-1011.00	1.A.1.b.6	Information Ordering	IM	4.00	8	0.0000	4.0000	4.0000	N	n/a	08/2023	Analyst
