O*NET-SOC Code	Element ID	Element Name	Scale ID	Category	Data Value	N	Standard Error	Lower CI Bound	Upper CI Bound	Recommend Suppress	Date	Domain Source
11-1011.00	2.D.1	Required Level of Education	RL	1	0.00	28	0.0000	n/a	n/a	N	08/2023	Incumbent
11-1011.00	2.D.1	Required Level of Education	RL	2	4.46	28	4.1428	0.6307	25.5524	N	08/2023	Incumbent
11-1011.00	2.D.1	Required Level of Education	RL	3	0.00	28	0.0000	n/a	n/a	N	08/2023	Incumbent
11-1011.00	2.D.1	Required Level of Education	RL	4	0.00	28	0.0000	n/a	n/a	N	08/2023	Incumbent
11-1011.00	2.D.1	Required Level of Education	RL	5	5.15	28	5.2236	0.6000	32.7756	N	08/2023	Incumbent
11-1011.00	2.D.1	Required Level of Education	RL	6	32.29	28	12.7266	12.6247	61.1586	N	08/2023	Incumbent
11-1011.00	2.D.1	Required Level of Education	RL	7	0.00	28	0.0000	n/a	n/a	N	08/2023	Incumbent
11-1011.00	2.D.1	Required Level of Education	RL	8	45.91	28	16.6480	17.6593	77.0570	N	08/2023	Incumbent
11-1011.00	2.D.1	Required Level of Education	RL	9	3.94	28	4.0634	0.4511	27.0734	N	08/2023	Incumbent
11-1011.00	2.D.1	Required Level of Education	RL	10	0.55	28	0.5831	0.0637	4.6529	N	08/2023	Incumbent
11-1011.00	2.D.1	Required Level of Education	RL	11	4.92	28	4.7695	0.6342	29.5426	N	08/2023	Incumbent
11-1011.00	2.D.1	Required Level of Education	RL	12	2.78	28	2.7428	0.3548	18.6644	N	08/2023	Incumbent
11-1011.00	2.D.4.a	Job-Related Professional Certification	IM	n/a	3.01	28	0.2773	2.4454	3.5834	N	08/2023	Incumbent
11-1011.00	3.A.1	Related Work Experience	RW	1	0.00	28	0.0000	n/a	n/a	N	08/2023	Incumbent
11-1011.00	3.A.1	Related Work Experience	RW	2	0.00	28	0.0000	n/a	n/a	N	08/2023	Incumbent
11-1011.00	3.A.1	Related Work Experience	RW	3	0.00	28	0.0000	n/a	n/a	N	08/2023	Incumbent
11-1011.00	3.A.1	Related Work Experience	RW	4	0.00	28	0.0000	n/a	n/a	N	08/2023	Incumbent
11-1011.00	3.A.1	Related Work Experience	RW	5	0.00	28	0.0000	n/a	n/a	N	08/2023	Incumbent
11-1011.00	3.A.1	Related Work Experience	RW	6	0.00	28	0.0000	n/a	n/a	N	08/2023	Incumbent
11-1011.00	3.A.1	Related Work Experience	RW	7	9.69	28	6.3839	2.3430	32.4046	N	08/2023	Incumbent
11-1011.00	3.A.1	Related Work Experience	RW	8	5.87	28	5.3299	0.8563	31.0831	N	08/2023	Incumbent
11-1011.00	3.A.1	Related Work Experience	RW	9	15.09	28	7.8957	4.7774	38.6230	N	08/2023	Incumbent
11-1011.00	3.A.1	Related Work Experience	RW	10	1.11	28	0.8635	0.2226	5.3397	N	08/2023	Incumbent
11-1011.00	3.A.1	Related Work Experience	RW	11	68.24	28	11.8645	41.1361	86.8556	N	08/2023	Incumbent
11-1011.00	3.A.2	On-Site or In-Plant Training	PT	1	10.22	28	5.9266	2.9333	29.9919	N	08/2023	Incumbent
11-1011.00	3.A.2	On-Site or In-Plant Training	PT	2	3.82	28	3.2307	0.6490	19.4416	N	08/2023	Incumbent
11-1011.00	3.A.2	On-Site or In-Plant Training	PT	3	5.15	28	5.2236	0.6000	32.7756	N	08/2023	Incumbent
11-1011.00	3.A.2	On-Site or In-Plant Training	PT	4	6.66	28	5.6415	1.0945	31.4820	N	08/2023	Incumbent
11-1011.00	3.A.2	On-Site or In-Plant Training	PT	5	16.79	28	9.5074	4.7552	44.9103	N	08/2023	Incumbent
11-1011.00	3.A.2	On-Site or In-Plant Training	PT	6	0.52	28	0.5467	0.0594	4.3785	N	08/2023	Incumbent
11-1011.00	3.A.2	On-Site or In-Plant Training	PT	7	6.62	28	5.4201	1.1603	29.9909	N	08/2023	Incumbent
11-1011.00	3.A.2	On-Site or In-Plant Training	PT	8	15.92	28	9.0158	4.5374	42.9918	N	08/2023	Incumbent
11-1011.00	3.A.2	On-Site or In-Plant Training	PT	9	34.32	28	19.3096	8.2639	75.1852	Y	08/2023	Incumbent
11-1011.00	3.A.3	On-the-Job Training	OJ	1	4.57	27	3.2099	1.0455	17.8546	N	08/2023	Incumbent
11-1011.00	3.A.3	On-the-Job Training	OJ	2	8.50	27	5.9928	1.8698	31.1658	N	08/2023	Incumbent
11-1011.00	3.A.3	On-the-Job Training	OJ	3	5.31	27	5.3962	0.6139	33.7379	N	08/2023	Incumbent
11-1011.00	3.A.3	On-the-Job Training	OJ	4	13.38	27	9.2844	2.8931	44.4923	N	08/2023	Incumbent
11-1011.00	3.A.3	On-the-Job Training	OJ	5	9.67	27	5.6173	2.7775	28.6472	N	08/2023	Incumbent
11-1011.00	3.A.3	On-the-Job Training	OJ	6	4.60	27	4.2836	0.6447	26.3896	N	08/2023	Incumbent
11-1011.00	3.A.3	On-the-Job Training	OJ	7	6.68	27	5.5870	1.1200	31.1239	N	08/2023	Incumbent
11-1011.00	3.A.3	On-the-Job Training	OJ	8	12.03	27	8.7135	2.4541	42.6272	N	08/2023	Incumbent
11-1011.00	3.A.3	On-the-Job Training	OJ	9	35.25	27	19.6375	8.4995	76.1430	Y	08/2023	Incumbent
11-1011.00	3.A.4.a	Job-related Apprenticeship	IM	n/a	2.20	27	0.3437	1.4926	2.9055	N	08/2023	Incumbent
11-1011.03	2.D.1	Required Level of Education	RL	1	0.00	27	n/a	n/a	n/a	n/a	08/2021	Occupational Expert
11-1011.03	2.D.1	Required Level of Education	RL	2	0.00	27	n/a	n/a	n/a	n/a	08/2021	Occupational Expert
11-1011.03	2.D.1	Required Level of Education	RL	3	0.00	27	n/a	n/a	n/a	n/a	08/2021	Occupational Expert
11-1011.03	2.D.1	Required Level of Education	RL	4	0.00	27	n/a	n/a	n/a	n/a	08/2021	Occupational Expert
11-1011.03	2.D.1	Required Level of Education	RL	5	0.00	27	n/a	n/a	n/a	n/a	08/2021	Occupational Expert
11-1011.03	2.D.1	Required Level of Education	RL	6	18.52	27	n/a	n/a	n/a	n/a	08/2021	Occupational Expert
11-1011.03	2.D.1	Required Level of Education	RL	7	0.00	27	n/a	n/a	n/a	n/a	08/2021	Occupational Expert
11-1011.03	2.D.1	Required Level of Education	RL	8	74.07	27	n/a	n/a	n/a	n/a	08/2021	Occupational Expert
11-1011.03	2.D.1	Required Level of Education	RL	9	7.41	27	n/a	n/a	n/a	n/a	08/2021	Occupational Expert
11-1011.03	2.D.1	Required Level of Education	RL	10	0.00	27	n/a	n/a	n/a	n/a	08/2021	Occupational Expert
