O*NET-SOC Code	Element ID	Element Name	Scale ID	Data Value	N	Standard Error	Lower CI Bound	Upper CI Bound	Recommend Suppress	Not Relevant	Date	Domain Source
11-1011.00	2.A.1.a	Reading Comprehension	IM	4.12	8	0.1250	3.8800	4.3700	N	n/a	08/2023	Analyst
11-1011.00	2.A.1.a	Reading Comprehension	LV	4.62	8	0.1830	4.2664	4.9836	N	N	08/2023	Analyst
11-1011.00	2.A.1.b	Active Listening	IM	4.00	8	0.0000	4.0000	4.0000	N	n/a	08/2023	Analyst
11-1011.00	2.A.1.b	Active Listening	LV	4.75	8	0.1637	4.4292	5.0708	N	N	08/2023	Analyst
11-1011.00	2.A.1.c	Writing	IM	4.12	8	0.1250	3.8800	4.3700	N	n/a	08/2023	Analyst
11-1011.00	2.A.1.c	Writing	LV	4.38	8	0.1830	4.0164	4.7336	N	N	08/2023	Analyst
11-1011.00	2.A.1.d	Speaking	IM	4.25	8	0.1637	3.9292	4.5708	N	n/a	08/2023	Analyst
11-1011.00	2.A.1.d	Speaking	LV	4.75	8	0.1637	4.4292	5.0708	N	N	08/2023	Analyst
11-1011.00	2.A.1.e	Mathematics	IM	3.25	8	0.2500	2.7600	3.7400	N	n/a	08/2023	Analyst
11-1011.00	2.A.1.e	Mathematics	LV	3.50	8	0.2673	2.9762	4.0238	N	N	08/2023	Analyst
11-1011.00	2.A.1.f	Science	IM	1.62	8	0.1830	1.2664	1.9836	N	n/a	08/2023	Analyst
11-1011.00	2.A.1.f	Science	LV	0.75	8	0.2500	0.2600	1.2400	N	N	08/2023	Analyst
11-1011.00	2.A.2.a	Critical Thinking	IM	4.38	8	0.1830	4.0164	4.7336	N	n/a	08/2023	Analyst
11-1011.00	2.A.2.a	Critical Thinking	LV	4.75	8	0.1637	4.4292	5.0708	N	N	08/2023	Analyst
11-1011.00	2.A.2.b	Active Learning	IM	3.75	8	0.1637	3.4292	4.0708	N	n/a	08/2023	Analyst
11-1011.00	2.A.2.b	Active Learning	LV	4.50	8	0.1890	4.1296	4.8704	N	N	08/2023	Analyst
11-1011.00	2.A.2.c	Learning Strategies	IM	3.12	8	0.1250	2.8800	3.3700	N	n/a	08/2023	Analyst
11-1011.00	2.A.2.c	Learning Strategies	LV	3.75	8	0.1637	3.4292	4.0708	N	N	08/2023	Analyst
11-1011.00	2.A.2.d	Monitoring	IM	4.00	8	0.0000	4.0000	4.0000	N	n/a	08/2023	Analyst
11-1011.00	2.A.2.d	Monitoring	LV	5.25	8	0.2500	4.7600	5.7400	N	N	08/2023	Analyst
11-1011.00	2.B.1.a	Social Perceptiveness	IM	4.12	8	0.1250	3.8800	4.3700	N	n/a	08/2023	Analyst
